problem_link,problem_name,num_occur
https://leetcode.com/problems/concatenation-of-array/,Concatenation of Array,2
https://leetcode.com/problems/build-array-from-permutation/,Build Array from Permutation,3
https://leetcode.com/problems/determine-whether-matrix-can-be-obtained-by-rotation/,Determine Whether Matrix Can Be Obtained By Rotation,2
https://leetcode.com/problems/sum-of-all-subset-xor-totals/,Sum of All Subset XOR Totals,2
https://leetcode.com/problems/sorting-the-sentence/,Sorting the Sentence,2
https://leetcode.com/problems/replace-all-digits-with-characters/,Replace All Digits with Characters,2
https://leetcode.com/problems/count-items-matching-a-rule/,Count Items Matching a Rule,3
https://leetcode.com/problems/maximum-absolute-sum-of-any-subarray/,Maximum Absolute Sum of Any Subarray,2
https://leetcode.com/problems/count-good-meals/,Count Good Meals,2
https://leetcode.com/problems/count-of-matches-in-tournament/,Count of Matches in Tournament,2
https://leetcode.com/problems/richest-customer-wealth/,Richest Customer Wealth,2
https://leetcode.com/problems/smallest-string-with-a-given-numeric-value/,Smallest String With A Given Numeric Value,2
https://leetcode.com/problems/maximum-number-of-achievable-transfer-requests/,Maximum Number of Achievable Transfer Requests,2
https://leetcode.com/problems/sum-of-all-odd-length-subarrays/,Sum of All Odd Length Subarrays,3
https://leetcode.com/problems/maximum-length-of-subarray-with-positive-product/,Maximum Length of Subarray With Positive Product,2
https://leetcode.com/problems/make-the-string-great/,Make The String Great,2
https://leetcode.com/problems/count-odd-numbers-in-an-interval-range/,Count Odd Numbers in an Interval Range,2
https://leetcode.com/problems/number-of-good-pairs/,Number of Good Pairs,2
https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards/,Maximum Points You Can Obtain from Cards,2
https://leetcode.com/problems/circle-and-rectangle-overlapping/,Circle and Rectangle Overlapping,2
https://leetcode.com/problems/number-of-substrings-containing-all-three-characters/,Number of Substrings Containing All Three Characters,2
https://leetcode.com/problems/search-suggestions-system/,Search Suggestions System,2
https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses/,Minimum Remove to Make Valid Parentheses,2
https://leetcode.com/problems/split-a-string-in-balanced-strings/,Split a String in Balanced Strings,2
https://leetcode.com/problems/unique-number-of-occurrences/,Unique Number of Occurrences,5
https://leetcode.com/problems/maximum-number-of-balloons/,Maximum Number of Balloons,2
https://leetcode.com/problems/number-of-equivalent-domino-pairs/,Number of Equivalent Domino Pairs,2
https://leetcode.com/problems/shortest-path-in-binary-matrix/,Shortest Path in Binary Matrix,2
https://leetcode.com/problems/partition-array-for-maximum-sum/,Partition Array for Maximum Sum,3
https://leetcode.com/problems/complement-of-base-10-integer/,Complement of Base 10 Integer,4
https://leetcode.com/problems/find-the-town-judge/,Find the Town Judge,2
https://leetcode.com/problems/reveal-cards-in-increasing-order/,Reveal Cards In Increasing Order,2
https://leetcode.com/problems/3sum-with-multiplicity/,3Sum With Multiplicity,2
https://leetcode.com/problems/smallest-range-i/,Smallest Range I,1
