problem_link,problem_name,num_occur
https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold/,Find the Smallest Divisor Given a Threshold,2
https://leetcode.com/problems/smallest-common-region/,Smallest Common Region,7
https://leetcode.com/problems/pyramid-transition-matrix/,Pyramid Transition Matrix,1
https://leetcode.com/problems/pour-water/,Pour Water,6
https://leetcode.com/problems/design-circular-queue/,Design Circular Queue,3
https://leetcode.com/problems/tag-validator/,Tag Validator,2
https://leetcode.com/problems/mini-parser/,Mini Parser,1
https://leetcode.com/problems/flatten-nested-list-iterator/,Flatten Nested List Iterator,4
https://leetcode.com/problems/palindrome-pairs/,Palindrome Pairs,14
https://leetcode.com/problems/alien-dictionary/,Alien Dictionary,14
https://leetcode.com/problems/flatten-2d-vector/,Flatten 2D Vector,9
https://leetcode.com/problems/fraction-to-recurring-decimal/,Fraction to Recurring Decimal,3
https://leetcode.com/problems/intersection-of-two-linked-lists/,Intersection of Two Linked Lists,2
https://leetcode.com/problems/minimum-window-substring/,Minimum Window Substring,6
https://leetcode.com/problems/combination-sum/,Combination Sum,5
