problem_link,problem_name,num_occur
https://leetcode.com/problems/minimum-average-difference/,Minimum Average Difference,1
https://leetcode.com/problems/minimum-rounds-to-complete-all-tasks/,Minimum Rounds to Complete All Tasks,1
https://leetcode.com/problems/partition-array-according-to-given-pivot/,Partition Array According to Given Pivot,1
https://leetcode.com/problems/minimum-sum-of-four-digit-number-after-splitting-digits/,Minimum Sum of Four Digit Number After Splitting Digits,1
https://leetcode.com/problems/rearrange-array-elements-by-sign/,Rearrange Array Elements by Sign,1
https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together-ii/,Minimum Swaps to Group All 1's Together II,2
https://leetcode.com/problems/maximum-twin-sum-of-a-linked-list/,Maximum Twin Sum of a Linked List,23
https://leetcode.com/problems/number-of-laser-beams-in-a-bank/,Number of Laser Beams in a Bank,6
https://leetcode.com/problems/check-if-a-parentheses-string-can-be-valid/,Check if a Parentheses String Can Be Valid,2
https://leetcode.com/problems/number-of-smooth-descent-periods-of-a-stock/,Number of Smooth Descent Periods of a Stock,4
https://leetcode.com/problems/adding-spaces-to-a-string/,Adding Spaces to a String,1
https://leetcode.com/problems/two-furthest-houses-with-different-colors/,Two Furthest Houses With Different Colors,2
https://leetcode.com/problems/decode-the-slanted-ciphertext/,Decode the Slanted Ciphertext,1
https://leetcode.com/problems/plates-between-candles/,Plates Between Candles,3
https://leetcode.com/problems/kth-distinct-string-in-an-array/,Kth Distinct String in an Array,1
https://leetcode.com/problems/number-of-valid-words-in-a-sentence/,Number of Valid Words in a Sentence,2
https://leetcode.com/problems/maximize-the-confusion-of-an-exam/,Maximize the Confusion of an Exam,2
https://leetcode.com/problems/sum-of-beauty-in-the-array/,Sum of Beauty in the Array,1
https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k/,Count Number of Pairs With Absolute Difference K,1
https://leetcode.com/problems/minimize-the-difference-between-target-and-chosen-elements/,Minimize the Difference Between Target and Chosen Elements,1
https://leetcode.com/problems/find-unique-binary-string/,Find Unique Binary String,2
https://leetcode.com/problems/find-if-path-exists-in-graph/,Find if Path Exists in Graph,4
https://leetcode.com/problems/array-with-elements-not-equal-to-average-of-neighbors/,Array With Elements Not Equal to Average of Neighbors,2
https://leetcode.com/problems/nearest-exit-from-entrance-in-maze/,Nearest Exit from Entrance in Maze,2
https://leetcode.com/problems/count-square-sum-triples/,Count Square Sum Triples,2
https://leetcode.com/problems/remove-all-occurrences-of-a-substring/,Remove All Occurrences of a Substring,2
https://leetcode.com/problems/longer-contiguous-segments-of-ones-than-zeros/,Longer Contiguous Segments of Ones than Zeros,2
https://leetcode.com/problems/maximum-average-pass-ratio/,Maximum Average Pass Ratio,2
https://leetcode.com/problems/sort-features-by-popularity/,Sort Features by Popularity,2
https://leetcode.com/problems/minimum-number-of-operations-to-move-all-balls-to-each-box/,Minimum Number of Operations to Move All Balls to Each Box,2
https://leetcode.com/problems/form-array-by-concatenating-subarrays-of-another-array/,Form Array by Concatenating Subarrays of Another Array,1
https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/,Check if Array Is Sorted and Rotated,2
