problem_link,problem_name,num_occur
https://leetcode.com/problems/check-if-numbers-are-ascending-in-a-sentence/,Check if Numbers Are Ascending in a Sentence,2
https://leetcode.com/problems/build-array-from-permutation/,Build Array from Permutation,5
https://leetcode.com/problems/minimum-operations-to-make-the-array-increasing/,Minimum Operations to Make the Array Increasing,2
https://leetcode.com/problems/implement-trie-ii-prefix-tree/,Implement Trie II (Prefix Tree),2
https://leetcode.com/problems/find-the-highest-altitude/,Find the Highest Altitude,3
https://leetcode.com/problems/partitioning-into-minimum-number-of-deci-binary-numbers/,Partitioning Into Minimum Number Of Deci-Binary Numbers,2
https://leetcode.com/problems/goal-parser-interpretation/,Goal Parser Interpretation,2
https://leetcode.com/problems/check-if-two-string-arrays-are-equivalent/,Check If Two String Arrays are Equivalent,2
https://leetcode.com/problems/sum-of-all-odd-length-subarrays/,Sum of All Odd Length Subarrays,2
https://leetcode.com/problems/number-of-sub-arrays-with-odd-sum/,Number of Sub-arrays With Odd Sum,2
https://leetcode.com/problems/count-odd-numbers-in-an-interval-range/,Count Odd Numbers in an Interval Range,2
https://leetcode.com/problems/shuffle-the-array/,Shuffle the Array,3
https://leetcode.com/problems/consecutive-characters/,Consecutive Characters,3
https://leetcode.com/problems/create-target-array-in-the-given-order/,Create Target Array in the Given Order,2
https://leetcode.com/problems/lucky-numbers-in-a-matrix/,Lucky Numbers in a Matrix,2
https://leetcode.com/problems/product-of-the-last-k-numbers/,Product of the Last K Numbers,2
https://leetcode.com/problems/number-of-steps-to-reduce-a-number-to-zero/,Number of Steps to Reduce a Number to Zero,2
https://leetcode.com/problems/decompress-run-length-encoded-list/,Decompress Run-Length Encoded List,3
https://leetcode.com/problems/deepest-leaves-sum/,Deepest Leaves Sum,2
https://leetcode.com/problems/sequential-digits/,Sequential Digits,2
https://leetcode.com/problems/group-the-people-given-the-group-size-they-belong-to/,Group the People Given the Group Size They Belong To,2
https://leetcode.com/problems/search-suggestions-system/,Search Suggestions System,2
https://leetcode.com/problems/minimum-time-visiting-all-points/,Minimum Time Visiting All Points,3
https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/,Remove All Adjacent Duplicates in String II,3
https://leetcode.com/problems/unique-number-of-occurrences/,Unique Number of Occurrences,4
https://leetcode.com/problems/day-of-the-week/,Day of the Week,2
https://leetcode.com/problems/height-checker/,Height Checker,2
https://leetcode.com/problems/sum-of-root-to-leaf-binary-numbers/,Sum of Root To Leaf Binary Numbers,2
https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60/,Pairs of Songs With Total Durations Divisible by 60,2
https://leetcode.com/problems/complement-of-base-10-integer/,Complement of Base 10 Integer,2
https://leetcode.com/problems/max-consecutive-ones-iii/,Max Consecutive Ones III,2
https://leetcode.com/problems/find-the-town-judge/,Find the Town Judge,2
https://leetcode.com/problems/smallest-string-starting-from-leaf/,Smallest String Starting From Leaf,2
https://leetcode.com/problems/distribute-coins-in-binary-tree/,Distribute Coins in Binary Tree,2
