problem_link,problem_name,num_occur
https://leetcode.com/problems/design-bitset/,Design Bitset,2
https://leetcode.com/problems/check-if-all-the-integers-in-a-range-are-covered/,Check if All the Integers in a Range Are Covered,1
https://leetcode.com/problems/maximum-population-year/,Maximum Population Year,2
https://leetcode.com/problems/find-the-winner-of-the-circular-game/,Find the Winner of the Circular Game,2
https://leetcode.com/problems/truncate-sentence/,Truncate Sentence,1
https://leetcode.com/problems/maximum-score-from-removing-stones/,Maximum Score From Removing Stones,2
https://leetcode.com/problems/swapping-nodes-in-a-linked-list/,Swapping Nodes in a Linked List,2
https://leetcode.com/problems/design-an-ordered-stream/,Design an Ordered Stream,20
https://leetcode.com/problems/arithmetic-subarrays/,Arithmetic Subarrays,2
https://leetcode.com/problems/maximum-nesting-depth-of-the-parentheses/,Maximum Nesting Depth of the Parentheses,4
https://leetcode.com/problems/even-odd-tree/,Even Odd Tree,1
https://leetcode.com/problems/count-unhappy-friends/,Count Unhappy Friends,3
https://leetcode.com/problems/matrix-diagonal-sum/,Matrix Diagonal Sum,2
https://leetcode.com/problems/dot-product-of-two-sparse-vectors/,Dot Product of Two Sparse Vectors,2
https://leetcode.com/problems/xor-operation-in-an-array/,XOR Operation in an Array,2
https://leetcode.com/problems/design-browser-history/,Design Browser History,9
https://leetcode.com/problems/pseudo-palindromic-paths-in-a-binary-tree/,Pseudo-Palindromic Paths in a Binary Tree,2
https://leetcode.com/problems/find-the-kth-smallest-sum-of-a-matrix-with-sorted-rows/,Find the Kth Smallest Sum of a Matrix With Sorted Rows,2
https://leetcode.com/problems/string-matching-in-an-array/,String Matching in an Array,2
https://leetcode.com/problems/design-underground-system/,Design Underground System,64
https://leetcode.com/problems/sort-integers-by-the-power-value/,Sort Integers by The Power Value,2
https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram/,Minimum Number of Steps to Make Two Strings Anagram,8
https://leetcode.com/problems/remove-palindromic-subsequences/,Remove Palindromic Subsequences,2
https://leetcode.com/problems/remove-palindromic-subsequences/,Remove Palindromic Subsequences,2
https://leetcode.com/problems/all-elements-in-two-binary-search-trees/,All Elements in Two Binary Search Trees,2
https://leetcode.com/problems/sum-of-mutated-array-closest-to-target/,Sum of Mutated Array Closest to Target,2
https://leetcode.com/problems/group-the-people-given-the-group-size-they-belong-to/,Group the People Given the Group Size They Belong To,2
https://leetcode.com/problems/count-square-submatrices-with-all-ones/,Count Square Submatrices with All Ones,2
https://leetcode.com/problems/shift-2d-grid/,Shift 2D Grid,2
https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses/,Minimum Remove to Make Valid Parentheses,8
https://leetcode.com/problems/split-a-string-in-balanced-strings/,Split a String in Balanced Strings,2
https://leetcode.com/problems/play-with-chips/,Play with Chips,2
https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/,Remove All Adjacent Duplicates in String II,26
https://leetcode.com/problems/unique-number-of-occurrences/,Unique Number of Occurrences,3
https://leetcode.com/problems/longest-common-subsequence/,Longest Common Subsequence,3
https://leetcode.com/problems/car-pooling/,Car Pooling,3
https://leetcode.com/problems/two-city-scheduling/,Two City Scheduling,14
https://leetcode.com/problems/divisor-game/,Divisor Game,2
https://leetcode.com/problems/next-greater-node-in-linked-list/,Next Greater Node In Linked List,2
https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60/,Pairs of Songs With Total Durations Divisible by 60,3
https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal/,Construct Binary Search Tree from Preorder Traversal,2
https://leetcode.com/problems/max-consecutive-ones-iii/,Max Consecutive Ones III,2
https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,Vertical Order Traversal of a Binary Tree,7
https://leetcode.com/problems/knight-dialer/,Knight Dialer,10
https://leetcode.com/problems/number-of-recent-calls/,Number of Recent Calls,1
https://leetcode.com/problems/sort-an-array/,Sort an Array,2
https://leetcode.com/problems/online-stock-span/,Online Stock Span,2
https://leetcode.com/problems/boats-to-save-people/,Boats to Save People,2
https://leetcode.com/problems/score-of-parentheses/,Score of Parentheses,3
https://leetcode.com/problems/peak-index-in-a-mountain-array/,Peak Index in a Mountain Array,3
https://leetcode.com/problems/backspace-string-compare/,Backspace String Compare,2
https://leetcode.com/problems/push-dominoes/,Push Dominoes,2
https://leetcode.com/problems/shortest-distance-to-a-character/,Shortest Distance to a Character,2
https://leetcode.com/problems/minimum-distance-between-bst-nodes/,Minimum Distance Between BST Nodes,2
https://leetcode.com/problems/toeplitz-matrix/,Toeplitz Matrix,3
https://leetcode.com/problems/couples-holding-hands/,Couples Holding Hands,2
https://leetcode.com/problems/min-cost-climbing-stairs/,Min Cost Climbing Stairs,2
https://leetcode.com/problems/find-smallest-letter-greater-than-target/,Find Smallest Letter Greater Than Target,2
https://leetcode.com/problems/self-dividing-numbers/,Self Dividing Numbers,2
https://leetcode.com/problems/candy-crush/,Candy Crush,7
https://leetcode.com/problems/binary-search/,Binary Search,3
https://leetcode.com/problems/number-of-distinct-islands/,Number of Distinct Islands,2
https://leetcode.com/problems/top-k-frequent-words/,Top K Frequent Words,4
https://leetcode.com/problems/valid-palindrome-ii/,Valid Palindrome II,2
https://leetcode.com/problems/non-decreasing-array/,Non-decreasing Array,3
https://leetcode.com/problems/maximum-width-of-binary-tree/,Maximum Width of Binary Tree,2
https://leetcode.com/problems/split-array-into-consecutive-subsequences/,Split Array into Consecutive Subsequences,2
https://leetcode.com/problems/find-k-closest-elements/,Find K Closest Elements,2
https://leetcode.com/problems/find-duplicate-subtrees/,Find Duplicate Subtrees,2
https://leetcode.com/problems/sum-of-square-numbers/,Sum of Square Numbers,2
https://leetcode.com/problems/course-schedule-iii/,Course Schedule III,2
https://leetcode.com/problems/valid-triangle-number/,Valid Triangle Number,2
https://leetcode.com/problems/can-place-flowers/,Can Place Flowers,3
