problem_link,problem_name,num_occur
https://leetcode.com/problems/the-number-of-weak-characters-in-the-game/,The Number of Weak Characters in the Game,4
https://leetcode.com/problems/closest-dessert-cost/,Closest Dessert Cost,3
https://leetcode.com/problems/max-consecutive-ones-iii/,Max Consecutive Ones III,2
https://leetcode.com/problems/maximum-swap/,Maximum Swap,2
https://leetcode.com/problems/k-inverse-pairs-array/,K Inverse Pairs Array,2
https://leetcode.com/problems/permutation-in-string/,Permutation in String,2
https://leetcode.com/problems/continuous-subarray-sum/,Continuous Subarray Sum,3
https://leetcode.com/problems/the-maze-ii/,The Maze II,2
https://leetcode.com/problems/the-maze/,The Maze,4
https://leetcode.com/problems/k-th-smallest-in-lexicographical-order/,K-th Smallest in Lexicographical Order,2
https://leetcode.com/problems/split-array-largest-sum/,Split Array Largest Sum,2
https://leetcode.com/problems/frog-jump/,Frog Jump,2
https://leetcode.com/problems/decode-string/,Decode String,2
https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/,Kth Smallest Element in a Sorted Matrix,2
https://leetcode.com/problems/sliding-window-maximum/,Sliding Window Maximum,4
https://leetcode.com/problems/basic-calculator-ii/,Basic Calculator II,4
https://leetcode.com/problems/basic-calculator/,Basic Calculator,3
https://leetcode.com/problems/maximal-square/,Maximal Square,2
https://leetcode.com/problems/add-and-search-word-data-structure-design/,Add and Search Word - Data structure design,2
https://leetcode.com/problems/course-schedule-ii/,Course Schedule II,3
https://leetcode.com/problems/implement-trie-prefix-tree/,Implement Trie,2
https://leetcode.com/problems/number-of-islands/,Number of Islands,6
https://leetcode.com/problems/sort-list/,Sort List,3
https://leetcode.com/problems/lru-cache/,LRU Cache,5
https://leetcode.com/problems/binary-tree-maximum-path-sum/,Binary Tree Maximum Path Sum,6
https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,Best Time to Buy and Sell Stock II,3
https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Best Time to Buy and Sell Stock,3
https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,Construct Binary Tree from Preorder and Inorder Traversal,2
https://leetcode.com/problems/restore-ip-addresses/,Restore IP Addresses,2
https://leetcode.com/problems/largest-rectangle-in-histogram/,Largest Rectangle in Histogram,2
https://leetcode.com/problems/plus-one/,Plus One,2
https://leetcode.com/problems/merge-intervals/,Merge Intervals,2
https://leetcode.com/problems/maximum-subarray/,Maximum Subarray,3
https://leetcode.com/problems/n-queens-ii/,N-Queens II,2
https://leetcode.com/problems/n-queens/,N-Queens,3
https://leetcode.com/problems/combination-sum/,Combination Sum,3
https://leetcode.com/problems/search-in-rotated-sorted-array/,Search in Rotated Sorted Array,6
https://leetcode.com/problems/longest-valid-parentheses/,Longest Valid Parentheses,3
https://leetcode.com/problems/reverse-nodes-in-k-group/,Reverse Nodes in k-Group,2
https://leetcode.com/problems/merge-k-sorted-lists/,Merge k Sorted Lists,8
https://leetcode.com/problems/generate-parentheses/,Generate Parentheses,2
https://leetcode.com/problems/3sum/,3Sum,3
