problem_link,problem_name,num_occur
https://leetcode.com/problems/rotating-the-box/,Rotating the Box,2
https://leetcode.com/problems/restore-the-array-from-adjacent-pairs/,Restore the Array From Adjacent Pairs,2
https://leetcode.com/problems/four-divisors/,Four Divisors,1
https://leetcode.com/problems/candy-crush/,Candy Crush,3
https://leetcode.com/problems/license-key-formatting/,License Key Formatting,18
https://leetcode.com/problems/count-primes/,Count Primes,14
https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Best Time to Buy and Sell Stock,4
https://leetcode.com/problems/reverse-nodes-in-k-group/,Reverse Nodes in k-Group,13
https://leetcode.com/problems/integer-to-roman/,Integer to Roman,3
https://leetcode.com/problems/add-two-numbers/,Add Two Numbers,2
