problem_link,problem_name,num_occur
https://leetcode.com/problems/maximum-difference-between-increasing-elements/,Maximum Difference Between Increasing Elements,6
https://leetcode.com/problems/maximum-population-year/,Maximum Population Year,2
https://leetcode.com/problems/check-if-binary-string-has-at-most-one-segment-of-ones/,Check if Binary String Has at Most One Segment of Ones,1
https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60/,Pairs of Songs With Total Durations Divisible by 60,2
https://leetcode.com/problems/expressive-words/,Expressive Words,11
https://leetcode.com/problems/find-pivot-index/,Find Pivot Index,2
https://leetcode.com/problems/beautiful-arrangement/,Beautiful Arrangement,3
https://leetcode.com/problems/coin-change-2/,Coin Change 2,2
https://leetcode.com/problems/validate-ip-address/,Validate IP Address,8
https://leetcode.com/problems/decode-string/,Decode String,8
https://leetcode.com/problems/top-k-frequent-elements/,Top K Frequent Elements,3
https://leetcode.com/problems/first-bad-version/,First Bad Version,2
https://leetcode.com/problems/word-search-ii/,Word Search II,16
https://leetcode.com/problems/house-robber/,House Robber,6
https://leetcode.com/problems/number-of-1-bits/,Number of 1 Bits,4
https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Best Time to Buy and Sell Stock,2
https://leetcode.com/problems/decode-ways/,Decode Ways,9
https://leetcode.com/problems/unique-paths-ii/,Unique Paths II,3
https://leetcode.com/problems/merge-intervals/,Merge Intervals,2
https://leetcode.com/problems/maximum-subarray/,Maximum Subarray,11
https://leetcode.com/problems/group-anagrams/,Group Anagrams,2
https://leetcode.com/problems/rotate-image/,Rotate Image,16
https://leetcode.com/problems/valid-parentheses/,Valid Parentheses,5
https://leetcode.com/problems/3sum/,3Sum,2
