problem_link,problem_name,num_occur
https://leetcode.com/problems/find-nearest-point-that-has-the-same-x-or-y-coordinate/,Find Nearest Point That Has the Same X or Y Coordinate,3
https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram/,Minimum Number of Steps to Make Two Strings Anagram,7
https://leetcode.com/problems/longest-common-subsequence/,Longest Common Subsequence,5
https://leetcode.com/problems/car-pooling/,Car Pooling,4
https://leetcode.com/problems/buddy-strings/,Buddy Strings,13
https://leetcode.com/problems/asteroid-collision/,Asteroid Collision,7
https://leetcode.com/problems/number-of-distinct-islands/,Number of Distinct Islands,2
https://leetcode.com/problems/exclusive-time-of-functions/,Exclusive Time of Functions,2
https://leetcode.com/problems/design-in-memory-file-system/,Design In-Memory File System,4
https://leetcode.com/problems/subarray-sum-equals-k/,Subarray Sum Equals K,2
https://leetcode.com/problems/k-diff-pairs-in-an-array/,K-diff Pairs in an Array,2
https://leetcode.com/problems/path-sum-iii/,Path Sum III,3
https://leetcode.com/problems/shortest-distance-from-all-buildings/,Shortest Distance from All Buildings,5
https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,Serialize and Deserialize Binary Tree,7
https://leetcode.com/problems/walls-and-gates/,Walls and Gates,11
https://leetcode.com/problems/integer-to-english-words/,Integer to English Words,4
https://leetcode.com/problems/sliding-window-maximum/,Sliding Window Maximum,2
https://leetcode.com/problems/basic-calculator/,Basic Calculator,6
https://leetcode.com/problems/number-of-islands/,Number of Islands,5
https://leetcode.com/problems/binary-tree-right-side-view/,Binary Tree Right Side View,2
https://leetcode.com/problems/binary-tree-maximum-path-sum/,Binary Tree Maximum Path Sum,18
https://leetcode.com/problems/largest-rectangle-in-histogram/,Largest Rectangle in Histogram,2
https://leetcode.com/problems/jump-game/,Jump Game,3
https://leetcode.com/problems/jump-game-ii/,Jump Game II,3
https://leetcode.com/problems/sudoku-solver/,Sudoku Solver,4
