problem_link,problem_name,num_occur
https://leetcode.com/problems/maximum-difference-between-increasing-elements/,Maximum Difference Between Increasing Elements,3
https://leetcode.com/problems/number-of-different-integers-in-a-string/,Number of Different Integers in a String,2
https://leetcode.com/problems/reformat-date/,Reformat Date,14
https://leetcode.com/problems/the-kth-factor-of-n/,The kth Factor of n,6
https://leetcode.com/problems/making-file-names-unique/,Making File Names Unique,14
https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals/,Least Number of Unique Integers after K Removals,4
https://leetcode.com/problems/rearrange-words-in-a-sentence/,Rearrange Words in a Sentence,1
https://leetcode.com/problems/find-pivot-index/,Find Pivot Index,2
https://leetcode.com/problems/degree-of-an-array/,Degree of an Array,5
https://leetcode.com/problems/palindromic-substrings/,Palindromic Substrings,2
https://leetcode.com/problems/subarray-sum-equals-k/,Subarray Sum Equals K,2
https://leetcode.com/problems/string-compression/,String Compression,8
https://leetcode.com/problems/best-meeting-point/,Best Meeting Point,4
https://leetcode.com/problems/move-zeroes/,Move Zeroes,2
https://leetcode.com/problems/integer-to-english-words/,Integer to English Words,3
https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Best Time to Buy and Sell Stock,5
https://leetcode.com/problems/climbing-stairs/,Climbing Stairs,7
https://leetcode.com/problems/search-in-rotated-sorted-array/,Search in Rotated Sorted Array,2
https://leetcode.com/problems/valid-parentheses/,Valid Parentheses,6
https://leetcode.com/problems/two-sum/,Two Sum,7
