problem_link,problem_name,num_occur
https://leetcode.com/problems/count-hills-and-valleys-in-an-array/,Count Hills and Valleys in an Array,1
https://leetcode.com/problems/k-radius-subarray-averages/,K Radius Subarray Averages,3
https://leetcode.com/problems/find-target-indices-after-sorting-array/,Find Target Indices After Sorting Array,2
https://leetcode.com/problems/process-restricted-friend-requests/,Process Restricted Friend Requests,5
https://leetcode.com/problems/minimum-operations-to-make-a-uni-value-grid/,Minimum Operations to Make a Uni-Value Grid,3
https://leetcode.com/problems/number-of-pairs-of-strings-with-concatenation-equal-to-target/,Number of Pairs of Strings With Concatenation Equal to Target,2
https://leetcode.com/problems/find-the-middle-index-in-array/,Find the Middle Index in Array,3
https://leetcode.com/problems/find-the-kth-largest-integer-in-the-array/,Find the Kth Largest Integer in the Array,4
https://leetcode.com/problems/remove-one-element-to-make-the-array-strictly-increasing/,Remove One Element to Make the Array Strictly Increasing,2
https://leetcode.com/problems/cutting-ribbons/,Cutting Ribbons,31
https://leetcode.com/problems/check-if-the-sentence-is-pangram/,Check if the Sentence Is Pangram,2
https://leetcode.com/problems/faulty-sensor/,Faulty Sensor,1
https://leetcode.com/problems/check-if-one-string-swap-can-make-strings-equal/,Check if One String Swap Can Make Strings Equal,2
https://leetcode.com/problems/count-items-matching-a-rule/,Count Items Matching a Rule,2
https://leetcode.com/problems/sum-of-unique-elements/,Sum of Unique Elements,2
https://leetcode.com/problems/swapping-nodes-in-a-linked-list/,Swapping Nodes in a Linked List,3
https://leetcode.com/problems/construct-the-lexicographically-largest-valid-sequence/,Construct the Lexicographically Largest Valid Sequence,1
https://leetcode.com/problems/check-if-two-string-arrays-are-equivalent/,Check If Two String Arrays are Equivalent,1
https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii/,Lowest Common Ancestor of a Binary Tree III,156
https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-ii/,Lowest Common Ancestor of a Binary Tree II,8
https://leetcode.com/problems/check-array-formation-through-concatenation/,Check Array Formation Through Concatenation,2
https://leetcode.com/problems/maximum-nesting-depth-of-the-parentheses/,Maximum Nesting Depth of the Parentheses,3
https://leetcode.com/problems/dot-product-of-two-sparse-vectors/,Dot Product of Two Sparse Vectors,121
https://leetcode.com/problems/minimum-insertions-to-balance-a-parentheses-string/,Minimum Insertions to Balance a Parentheses String,4
https://leetcode.com/problems/kth-missing-positive-number/,Kth Missing Positive Number,28
https://leetcode.com/problems/clone-binary-tree-with-random-pointer/,Clone Binary Tree With Random Pointer,2
https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array/,Maximum Product of Two Elements in an Array,2
https://leetcode.com/problems/make-two-arrays-equal-by-reversing-sub-arrays/,Make Two Arrays Equal by Reversing Sub-arrays,4
https://leetcode.com/problems/first-unique-number/,First Unique Number,2
https://leetcode.com/problems/leftmost-column-with-at-least-a-one/,Leftmost Column with at Least a One,10
https://leetcode.com/problems/count-number-of-teams/,Count Number of Teams,2
https://leetcode.com/problems/balance-a-binary-search-tree/,Balance a Binary Search Tree,11
https://leetcode.com/problems/validate-binary-tree-nodes/,Validate Binary Tree Nodes,2
https://leetcode.com/problems/apply-discount-every-n-orders/,Apply Discount Every n Orders,1
https://leetcode.com/problems/count-negative-numbers-in-a-sorted-matrix/,Count Negative Numbers in a Sorted Matrix,2
https://leetcode.com/problems/angle-between-hands-of-a-clock/,Angle Between Hands of a Clock,11
https://leetcode.com/problems/rank-transform-of-an-array/,Rank Transform of an Array,3
https://leetcode.com/problems/all-elements-in-two-binary-search-trees/,All Elements in Two Binary Search Trees,5
https://leetcode.com/problems/replace-elements-with-greatest-element-on-right-side/,Replace Elements with Greatest Element on Right Side,2
https://leetcode.com/problems/element-appearing-more-than-25-in-sorted-array/,Element Appearing More Than 25% In Sorted Array,5
https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game/,Find Winner on a Tic Tac Toe Game,4
https://leetcode.com/problems/search-suggestions-system/,Search Suggestions System,3
https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses/,Minimum Remove to Make Valid Parentheses,282
https://leetcode.com/problems/intersection-of-three-sorted-arrays/,Intersection of Three Sorted Arrays,3
https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/,Remove All Adjacent Duplicates in String II,7
https://leetcode.com/problems/unique-number-of-occurrences/,Unique Number of Occurrences,4
https://leetcode.com/problems/maximum-level-sum-of-a-binary-tree/,Maximum Level Sum of a Binary Tree,3
https://leetcode.com/problems/check-if-a-number-is-majority-element-in-a-sorted-array/,Check If a Number Is Majority Element in a Sorted Array,2
https://leetcode.com/problems/delete-nodes-and-return-forest/,Delete Nodes And Return Forest,7
https://leetcode.com/problems/two-sum-less-than-k/,Two Sum Less Than K,3
https://leetcode.com/problems/car-pooling/,Car Pooling,2
https://leetcode.com/problems/shortest-path-in-binary-matrix/,Shortest Path in Binary Matrix,76
https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string/,Remove All Adjacent Duplicates In String,40
https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree/,Binary Search Tree to Greater Sum Tree,2
https://leetcode.com/problems/moving-stones-until-consecutive/,Moving Stones Until Consecutive,1
https://leetcode.com/problems/two-city-scheduling/,Two City Scheduling,2
https://leetcode.com/problems/maximum-difference-between-node-and-ancestor/,Maximum Difference Between Node and Ancestor,2
https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal/,Construct Binary Search Tree from Preorder Traversal,2
https://leetcode.com/problems/max-consecutive-ones-iii/,Max Consecutive Ones III,26
https://leetcode.com/problems/cousins-in-binary-tree/,Cousins in Binary Tree,2
https://leetcode.com/problems/add-to-array-form-of-integer/,Add to Array-Form of Integer,2
https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,Vertical Order Traversal of a Binary Tree,82
https://leetcode.com/problems/unique-paths-iii/,Unique Paths III,2
https://leetcode.com/problems/squares-of-a-sorted-array/,Squares of a Sorted Array,29
https://leetcode.com/problems/subarray-sums-divisible-by-k/,Subarray Sums Divisible by K,3
https://leetcode.com/problems/k-closest-points-to-origin/,K Closest Points to Origin,127
https://leetcode.com/problems/check-completeness-of-a-binary-tree/,Check Completeness of a Binary Tree,11
https://leetcode.com/problems/verifying-an-alien-dictionary/,Verifying an Alien Dictionary,21
https://leetcode.com/problems/range-sum-of-bst/,Range Sum of BST,149
https://leetcode.com/problems/knight-dialer/,Knight Dialer,6
https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/,Minimum Add to Make Parentheses Valid,100
https://leetcode.com/problems/increasing-order-search-tree/,Increasing Order Search Tree,2
https://leetcode.com/problems/monotonic-array/,Monotonic Array,12
https://leetcode.com/problems/maximum-frequency-stack/,Maximum Frequency Stack,2
https://leetcode.com/problems/groups-of-special-equivalent-strings/,Groups of Special-Equivalent Strings,1
https://leetcode.com/problems/uncommon-words-from-two-sentences/,Uncommon Words from Two Sentences,3
https://leetcode.com/problems/middle-of-the-linked-list/,Middle of the Linked List,3
https://leetcode.com/problems/advantage-shuffle/,Advantage Shuffle,2
https://leetcode.com/problems/buddy-strings/,Buddy Strings,2
https://leetcode.com/problems/score-of-parentheses/,Score of Parentheses,4
https://leetcode.com/problems/rectangle-overlap/,Rectangle Overlap,2
https://leetcode.com/problems/goat-latin/,Goat Latin,5
https://leetcode.com/problems/binary-tree-pruning/,Binary Tree Pruning,4
https://leetcode.com/problems/expressive-words/,Expressive Words,2
https://leetcode.com/problems/custom-sort-string/,Custom Sort String,67
https://leetcode.com/problems/rotated-digits/,Rotated Digits,4
https://leetcode.com/problems/reorganize-string/,Reorganize String,9
https://leetcode.com/problems/toeplitz-matrix/,Toeplitz Matrix,30
https://leetcode.com/problems/number-of-corner-rectangles/,Number Of Corner Rectangles,1
https://leetcode.com/problems/closest-leaf-in-a-binary-tree/,Closest Leaf in a Binary Tree,3
https://leetcode.com/problems/daily-temperatures/,Daily Temperatures,17
https://leetcode.com/problems/asteroid-collision/,Asteroid Collision,10
https://leetcode.com/problems/sentence-similarity/,Sentence Similarity,2
https://leetcode.com/problems/find-pivot-index/,Find Pivot Index,14
https://leetcode.com/problems/candy-crush/,Candy Crush,2
https://leetcode.com/problems/accounts-merge/,Accounts Merge,34
https://leetcode.com/problems/find-k-th-smallest-pair-distance/,Find K-th Smallest Pair Distance,3
https://leetcode.com/problems/max-stack/,Max Stack,3
https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/,Best Time to Buy and Sell Stock with Transaction Fee,2
https://leetcode.com/problems/subarray-product-less-than-k/,Subarray Product Less Than K,3
https://leetcode.com/problems/binary-search/,Binary Search,2
https://leetcode.com/problems/kth-largest-element-in-a-stream/,Kth Largest Element in a Stream,3
https://leetcode.com/problems/max-area-of-island/,Max Area of Island,18
https://leetcode.com/problems/top-k-frequent-words/,Top K Frequent Words,4
https://leetcode.com/problems/stickers-to-spell-word/,Stickers to Spell Word,3
https://leetcode.com/problems/maximum-sum-of-3-non-overlapping-subarrays/,Maximum Sum of 3 Non-Overlapping Subarrays,3
https://leetcode.com/problems/valid-palindrome-ii/,Valid Palindrome II,252
https://leetcode.com/problems/valid-parenthesis-string/,Valid Parenthesis String,4
https://leetcode.com/problems/implement-magic-dictionary/,Implement Magic Dictionary,3
https://leetcode.com/problems/longest-continuous-increasing-subsequence/,Longest Continuous Increasing Subsequence,4
https://leetcode.com/problems/maximum-swap/,Maximum Swap,36
https://leetcode.com/problems/trim-a-binary-search-tree/,Trim a Binary Search Tree,3
https://leetcode.com/problems/path-sum-iv/,Path Sum IV,2
https://leetcode.com/problems/maximum-width-of-binary-tree/,Maximum Width of Binary Tree,3
https://leetcode.com/problems/find-k-closest-elements/,Find K Closest Elements,21
https://leetcode.com/problems/replace-words/,Replace Words,2
https://leetcode.com/problems/palindromic-substrings/,Palindromic Substrings,24
https://leetcode.com/problems/maximum-average-subarray-i/,Maximum Average Subarray I,7
https://leetcode.com/problems/shopping-offers/,Shopping Offers,2
https://leetcode.com/problems/average-of-levels-in-binary-tree/,Average of Levels in Binary Tree,5
https://leetcode.com/problems/exclusive-time-of-functions/,Exclusive Time of Functions,33
https://leetcode.com/problems/design-circular-queue/,Design Circular Queue,4
https://leetcode.com/problems/task-scheduler/,Task Scheduler,3
https://leetcode.com/problems/merge-two-binary-trees/,Merge Two Binary Trees,6
https://leetcode.com/problems/add-bold-tag-in-string/,Add Bold Tag in String,13
https://leetcode.com/problems/construct-string-from-binary-tree/,Construct String from Binary Tree,2
https://leetcode.com/problems/can-place-flowers/,Can Place Flowers,13
https://leetcode.com/problems/subtree-of-another-tree/,Subtree of Another Tree,5
https://leetcode.com/problems/reshape-the-matrix/,Reshape the Matrix,2
https://leetcode.com/problems/subarray-sum-equals-k/,Subarray Sum Equals K,141
https://leetcode.com/problems/reverse-words-in-a-string-iii/,Reverse Words in a String III,2
https://leetcode.com/problems/split-array-with-equal-sum/,Split Array with Equal Sum,3
https://leetcode.com/problems/boundary-of-binary-tree/,Boundary of Binary Tree,3
https://leetcode.com/problems/diameter-of-binary-tree/,Diameter of Binary Tree,89
https://leetcode.com/problems/01-matrix/,01 Matrix,2
https://leetcode.com/problems/single-element-in-a-sorted-array/,Single Element in a Sorted Array,5
https://leetcode.com/problems/convert-bst-to-greater-tree/,Convert BST to Greater Tree,3
https://leetcode.com/problems/construct-binary-tree-from-string/,Construct Binary Tree from String,7
https://leetcode.com/problems/minesweeper/,Minesweeper,6
https://leetcode.com/problems/random-pick-with-weight/,Random Pick with Weight,140
https://leetcode.com/problems/contiguous-array/,Contiguous Array,3
https://leetcode.com/problems/continuous-subarray-sum/,Continuous Subarray Sum,56
https://leetcode.com/problems/find-largest-value-in-each-tree-row/,Find Largest Value in Each Tree Row,18
https://leetcode.com/problems/fibonacci-number/,Fibonacci Number,3
https://leetcode.com/problems/diagonal-traverse/,Diagonal Traverse,48
https://leetcode.com/problems/target-sum/,Target Sum,10
https://leetcode.com/problems/the-maze/,The Maze,2
https://leetcode.com/problems/sliding-window-median/,Sliding Window Median,9
https://leetcode.com/problems/island-perimeter/,Island Perimeter,10
https://leetcode.com/problems/repeated-substring-pattern/,Repeated Substring Pattern,2
https://leetcode.com/problems/4sum-ii/,4Sum II,3
https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons/,Minimum Number of Arrows to Burst Balloons,2
https://leetcode.com/problems/sort-characters-by-frequency/,Sort Characters By Frequency,3
https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array/,Find All Numbers Disappeared in an Array,7
https://leetcode.com/problems/string-compression/,String Compression,5
https://leetcode.com/problems/find-all-anagrams-in-a-string/,Find All Anagrams in a String,5
https://leetcode.com/problems/path-sum-iii/,Path Sum III,4
https://leetcode.com/problems/non-overlapping-intervals/,Non-overlapping Intervals,7
https://leetcode.com/problems/battleships-in-a-board/,Battleships in a Board,4
https://leetcode.com/problems/partition-equal-subset-sum/,Partition Equal Subset Sum,11
https://leetcode.com/problems/add-strings/,Add Strings,54
https://leetcode.com/problems/fizz-buzz/,Fizz Buzz,3
https://leetcode.com/problems/split-array-largest-sum/,Split Array Largest Sum,5
https://leetcode.com/problems/valid-word-abbreviation/,Valid Word Abbreviation,114
https://leetcode.com/problems/queue-reconstruction-by-height/,Queue Reconstruction by Height,3
https://leetcode.com/problems/remove-k-digits/,Remove K Digits,2
https://leetcode.com/problems/evaluate-division/,Evaluate Division,8
https://leetcode.com/problems/random-pick-index/,Random Pick Index,21
