problem_link,problem_name,num_occur
https://leetcode.com/problems/minimum-consecutive-cards-to-pick-up/,Minimum Consecutive Cards to Pick Up,1
https://leetcode.com/problems/count-prefixes-of-a-given-string/,Count Prefixes of a Given String,1
https://leetcode.com/problems/find-the-difference-of-two-arrays/,Find the Difference of Two Arrays,1
https://leetcode.com/problems/find-all-k-distant-indices-in-an-array/,Find All K-Distant Indices in an Array,1
https://leetcode.com/problems/most-frequent-number-following-key-in-an-array/,Most Frequent Number Following Key In an Array,1
https://leetcode.com/problems/counting-words-with-a-given-prefix/,Counting Words With a Given Prefix,1
https://leetcode.com/problems/all-divisions-with-the-highest-score-of-a-binary-array/,All Divisions With the Highest Score of a Binary Array,1
https://leetcode.com/problems/find-all-lonely-numbers-in-the-array/,Find All Lonely Numbers in the Array,1
https://leetcode.com/problems/destroying-asteroids/,Destroying Asteroids,1
https://leetcode.com/problems/maximum-number-of-words-found-in-sentences/,Maximum Number of Words Found in Sentences,1
https://leetcode.com/problems/rings-and-rods/,Rings and Rods,6
https://leetcode.com/problems/find-target-indices-after-sorting-array/,Find Target Indices After Sorting Array,4
https://leetcode.com/problems/watering-plants/,Watering Plants,1
https://leetcode.com/problems/smallest-index-with-equal-value/,Smallest Index With Equal Value,1
https://leetcode.com/problems/stock-price-fluctuation/,Stock Price Fluctuation,30
https://leetcode.com/problems/convert-1d-array-into-2d-array/,Convert 1D Array Into 2D Array,1
https://leetcode.com/problems/check-if-word-can-be-placed-in-crossword/,Check if Word Can Be Placed In Crossword,4
https://leetcode.com/problems/find-original-array-from-doubled-array/,Find Original Array From Doubled Array,14
https://leetcode.com/problems/the-number-of-weak-characters-in-the-game/,The Number of Weak Characters in the Game,3
https://leetcode.com/problems/find-if-path-exists-in-graph/,Find if Path Exists in Graph,3
https://leetcode.com/problems/binary-searchable-numbers-in-an-unsorted-array/,Binary Searchable Numbers in an Unsorted Array,1
https://leetcode.com/problems/concatenation-of-array/,Concatenation of Array,4
https://leetcode.com/problems/build-array-from-permutation/,Build Array from Permutation,2
https://leetcode.com/problems/remove-all-occurrences-of-a-substring/,Remove All Occurrences of a Substring,2
https://leetcode.com/problems/minimize-maximum-pair-sum-in-array/,Minimize Maximum Pair Sum in Array,3
https://leetcode.com/problems/minimize-product-sum-of-two-arrays/,Minimize Product Sum of Two Arrays,1
https://leetcode.com/problems/sorting-the-sentence/,Sorting the Sentence,2
https://leetcode.com/problems/maximum-population-year/,Maximum Population Year,2
https://leetcode.com/problems/replace-all-digits-with-characters/,Replace All Digits with Characters,1
