problem_link,problem_name,num_occur
https://leetcode.com/problems/alert-using-same-key-card-three-or-more-times-in-a-one-hour-period/,Alert Using Same Key-Card Three or More Times in a One Hour Period,4
https://leetcode.com/problems/find-words-that-can-be-formed-by-characters/,Find Words That Can Be Formed by Characters,6
https://leetcode.com/problems/sum-of-even-numbers-after-queries/,Sum of Even Numbers After Queries,1
https://leetcode.com/problems/subdomain-visit-count/,Subdomain Visit Count,25
https://leetcode.com/problems/maximum-length-of-repeated-subarray/,Maximum Length of Repeated Subarray,8
https://leetcode.com/problems/binary-tree-tilt/,Binary Tree Tilt,1
https://leetcode.com/problems/merge-sorted-array/,Merge Sorted Array,2
https://leetcode.com/problems/word-search/,Word Search,9
https://leetcode.com/problems/text-justification/,Text Justification,3
https://leetcode.com/problems/merge-k-sorted-lists/,Merge k Sorted Lists,3
