problem_link,problem_name,num_occur
https://leetcode.com/problems/delete-nodes-and-return-forest/,Delete Nodes And Return Forest,2
https://leetcode.com/problems/unique-email-addresses/,Unique Email Addresses,6
https://leetcode.com/problems/boats-to-save-people/,Boats to Save People,3
https://leetcode.com/problems/subdomain-visit-count/,Subdomain Visit Count,2
https://leetcode.com/problems/decode-string/,Decode String,2
https://leetcode.com/problems/palindrome-linked-list/,Palindrome Linked List,2
https://leetcode.com/problems/reverse-linked-list/,Reverse Linked List,2
https://leetcode.com/problems/lru-cache/,LRU Cache,8
https://leetcode.com/problems/merge-intervals/,Merge Intervals,2
https://leetcode.com/problems/trapping-rain-water/,Trapping Rain Water,2
https://leetcode.com/problems/sudoku-solver/,Sudoku Solver,4
https://leetcode.com/problems/longest-substring-without-repeating-characters/,Longest Substring Without Repeating Characters,2
https://leetcode.com/problems/two-sum/,Two Sum,2
