problem_link,problem_name,num_occur
https://leetcode.com/problems/check-if-every-row-and-column-contains-all-numbers/,Check if Every Row and Column Contains All Numbers,4
https://leetcode.com/problems/alert-using-same-key-card-three-or-more-times-in-a-one-hour-period/,Alert Using Same Key-Card Three or More Times in a One Hour Period,16
https://leetcode.com/problems/find-words-that-can-be-formed-by-characters/,Find Words That Can Be Formed by Characters,12
https://leetcode.com/problems/longest-common-subsequence/,Longest Common Subsequence,2
https://leetcode.com/problems/subdomain-visit-count/,Subdomain Visit Count,40
https://leetcode.com/problems/maximum-length-of-repeated-subarray/,Maximum Length of Repeated Subarray,16
https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,Lowest Common Ancestor of a Binary Tree,3
https://leetcode.com/problems/word-search-ii/,Word Search II,5
https://leetcode.com/problems/course-schedule-ii/,Course Schedule II,4
https://leetcode.com/problems/number-of-islands/,Number of Islands,4
https://leetcode.com/problems/word-search/,Word Search,17
https://leetcode.com/problems/text-justification/,Text Justification,10
https://leetcode.com/problems/valid-sudoku/,Valid Sudoku,3
