problem_link,problem_name,num_occur
https://leetcode.com/problems/remove-digit-from-number-to-maximize-result/,Remove Digit From Number to Maximize Result,2
https://leetcode.com/problems/minimum-operations-to-halve-array-sum/,Minimum Operations to Halve Array Sum,1
https://leetcode.com/problems/divide-array-into-equal-pairs/,Divide Array Into Equal Pairs,1
https://leetcode.com/problems/merge-nodes-in-between-zeros/,Merge Nodes in Between Zeros,1
https://leetcode.com/problems/check-if-all-as-appears-before-all-bs/,Check if All A's Appears Before All B's,1
https://leetcode.com/problems/find-missing-observations/,Find Missing Observations,Amazon
https://leetcode.com/problems/find-original-array-from-doubled-array/,Find Original Array From Doubled Array,2
https://leetcode.com/problems/three-divisors/,Three Divisors,1
https://leetcode.com/problems/sum-of-digits-of-string-after-convert/,Sum of Digits of String After Convert,1
https://leetcode.com/problems/remove-all-occurrences-of-a-substring/,Remove All Occurrences of a Substring,3
https://leetcode.com/problems/remove-duplicates-from-an-unsorted-linked-list/,Remove Duplicates From an Unsorted Linked List,2
https://leetcode.com/problems/sign-of-the-product-of-an-array/,Sign of the Product of an Array,45
https://leetcode.com/problems/find-center-of-star-graph/,Find Center of Star Graph,1
https://leetcode.com/problems/check-if-number-is-a-sum-of-powers-of-three/,Check if Number is a Sum of Powers of Three,2
https://leetcode.com/problems/equal-sum-arrays-with-minimum-number-of-operations/,Equal Sum Arrays With Minimum Number of Operations,2
https://leetcode.com/problems/closest-dessert-cost/,Closest Dessert Cost,2
https://leetcode.com/problems/map-of-highest-peak/,Map of Highest Peak,2
https://leetcode.com/problems/longest-nice-substring/,Longest Nice Substring,4
https://leetcode.com/problems/maximum-number-of-balls-in-a-box/,Maximum Number of Balls in a Box,2
https://leetcode.com/problems/maximum-number-of-eaten-apples/,Maximum Number of Eaten Apples,2
https://leetcode.com/problems/ways-to-make-a-fair-array/,Ways to Make a Fair Array,2
https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii/,Lowest Common Ancestor of a Binary Tree III,5
https://leetcode.com/problems/furthest-building-you-can-reach/,Furthest Building You Can Reach,2
https://leetcode.com/problems/widest-vertical-area-between-two-points-containing-no-points/,Widest Vertical Area Between Two Points Containing No Points,1
https://leetcode.com/problems/replace-all-s-to-avoid-consecutive-repeating-characters/,Replace All ?'s to Avoid Consecutive Repeating Characters,2
https://leetcode.com/problems/dot-product-of-two-sparse-vectors/,Dot Product of Two Sparse Vectors,2
https://leetcode.com/problems/minimum-operations-to-make-array-equal/,Minimum Operations to Make Array Equal,2
https://leetcode.com/problems/minimum-insertions-to-balance-a-parentheses-string/,Minimum Insertions to Balance a Parentheses String,4
https://leetcode.com/problems/kth-missing-positive-number/,Kth Missing Positive Number,2
https://leetcode.com/problems/water-bottles/,Water Bottles,1
https://leetcode.com/problems/number-of-good-pairs/,Number of Good Pairs,3
https://leetcode.com/problems/making-file-names-unique/,Making File Names Unique,2
https://leetcode.com/problems/running-sum-of-1d-array/,Running Sum of 1d Array,2
https://leetcode.com/problems/delete-n-nodes-after-m-nodes-of-a-linked-list/,Delete N Nodes After M Nodes of a Linked List,1
https://leetcode.com/problems/find-all-the-lonely-nodes/,Find All The Lonely Nodes,1
https://leetcode.com/problems/count-good-nodes-in-binary-tree/,Count Good Nodes in Binary Tree,11
https://leetcode.com/problems/reformat-the-string/,Reformat The String,1
https://leetcode.com/problems/the-k-th-lexicographical-string-of-all-happy-strings-of-length-n/,The k-th Lexicographical String of All Happy Strings of Length n,1
https://leetcode.com/problems/find-lucky-integer-in-an-array/,Find Lucky Integer in an Array,1
https://leetcode.com/problems/cinema-seat-allocation/,Cinema Seat Allocation,17
https://leetcode.com/problems/bulb-switcher-iii/,Bulb Switcher III,2
https://leetcode.com/problems/generate-a-string-with-characters-that-have-odd-counts/,Generate a String With Characters That Have Odd Counts,2
https://leetcode.com/problems/find-the-longest-substring-containing-vowels-in-even-counts/,Find the Longest Substring Containing Vowels in Even Counts,1
https://leetcode.com/problems/linked-list-in-binary-tree/,Linked List in Binary Tree,2
https://leetcode.com/problems/number-of-substrings-containing-all-three-characters/,Number of Substrings Containing All Three Characters,2
https://leetcode.com/problems/angle-between-hands-of-a-clock/,Angle Between Hands of a Clock,5
https://leetcode.com/problems/number-of-steps-to-reduce-a-number-to-zero/,Number of Steps to Reduce a Number to Zero,2
https://leetcode.com/problems/sort-the-matrix-diagonally/,Sort the Matrix Diagonally,2
https://leetcode.com/problems/print-words-vertically/,Print Words Vertically,1
https://leetcode.com/problems/find-n-unique-integers-sum-up-to-zero/,Find N Unique Integers Sum up to Zero,22
https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game/,Find Winner on a Tic Tac Toe Game,10
https://leetcode.com/problems/delete-tree-nodes/,Delete Tree Nodes,1
https://leetcode.com/problems/count-servers-that-communicate/,Count Servers that Communicate,6
https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses/,Minimum Remove to Make Valid Parentheses,4
https://leetcode.com/problems/check-if-it-is-a-straight-line/,Check If It Is a Straight Line,2
https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/,Remove All Adjacent Duplicates in String II,2
https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses/,Reverse Substrings Between Each Pair of Parentheses,2
https://leetcode.com/problems/snapshot-array/,Snapshot Array,2
https://leetcode.com/problems/delete-nodes-and-return-forest/,Delete Nodes And Return Forest,2
https://leetcode.com/problems/car-pooling/,Car Pooling,3
https://leetcode.com/problems/shortest-path-in-binary-matrix/,Shortest Path in Binary Matrix,8
https://leetcode.com/problems/letter-tile-possibilities/,Letter Tile Possibilities,3
https://leetcode.com/problems/remove-outermost-parentheses/,Remove Outermost Parentheses,2
https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal/,Construct Binary Search Tree from Preorder Traversal,3
https://leetcode.com/problems/max-consecutive-ones-iii/,Max Consecutive Ones III,3
https://leetcode.com/problems/time-based-key-value-store/,Time Based Key-Value Store,5
https://leetcode.com/problems/rotting-oranges/,Rotting Oranges,12
https://leetcode.com/problems/cousins-in-binary-tree/,Cousins in Binary Tree,2
https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,Vertical Order Traversal of a Binary Tree,6
https://leetcode.com/problems/distribute-coins-in-binary-tree/,Distribute Coins in Binary Tree,4
https://leetcode.com/problems/squares-of-a-sorted-array/,Squares of a Sorted Array,5
https://leetcode.com/problems/k-closest-points-to-origin/,K Closest Points to Origin,6
https://leetcode.com/problems/validate-stack-sequences/,Validate Stack Sequences,2
https://leetcode.com/problems/di-string-match/,DI String Match,2
https://leetcode.com/problems/knight-dialer/,Knight Dialer,2
https://leetcode.com/problems/sort-array-by-parity-ii/,Sort Array By Parity II,2
https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/,Minimum Add to Make Parentheses Valid,3
https://leetcode.com/problems/maximum-frequency-stack/,Maximum Frequency Stack,2
https://leetcode.com/problems/boats-to-save-people/,Boats to Save People,2
https://leetcode.com/problems/middle-of-the-linked-list/,Middle of the Linked List,2
https://leetcode.com/problems/transpose-matrix/,Transpose Matrix,2
https://leetcode.com/problems/maximize-distance-to-closest-person/,Maximize Distance to Closest Person,5
https://leetcode.com/problems/rotate-string/,Rotate String,2
https://leetcode.com/problems/letter-case-permutation/,Letter Case Permutation,2
