problem_link,problem_name,num_occur
https://leetcode.com/problems/check-whether-two-strings-are-almost-equivalent/,Check Whether Two Strings are Almost Equivalent,1
https://leetcode.com/problems/construct-the-lexicographically-largest-valid-sequence/,Construct the Lexicographically Largest Valid Sequence,3
https://leetcode.com/problems/count-sorted-vowel-strings/,Count Sorted Vowel Strings,2
https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals/,Least Number of Unique Integers after K Removals,2
https://leetcode.com/problems/count-good-nodes-in-binary-tree/,Count Good Nodes in Binary Tree,2
https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended/,Maximum Number of Events That Can Be Attended,2
https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold/,Find the Smallest Divisor Given a Threshold,3
https://leetcode.com/problems/minimum-absolute-difference/,Minimum Absolute Difference,3
https://leetcode.com/problems/check-if-a-number-is-majority-element-in-a-sorted-array/,Check If a Number Is Majority Element in a Sorted Array,1
https://leetcode.com/problems/height-checker/,Height Checker,1
https://leetcode.com/problems/last-stone-weight/,Last Stone Weight,2
https://leetcode.com/problems/boats-to-save-people/,Boats to Save People,5
https://leetcode.com/problems/daily-temperatures/,Daily Temperatures,2
https://leetcode.com/problems/design-hashmap/,Design HashMap,3
https://leetcode.com/problems/maximum-product-of-three-numbers/,Maximum Product of Three Numbers,7
https://leetcode.com/problems/design-in-memory-file-system/,Design In-Memory File System,3
https://leetcode.com/problems/teemo-attacking/,Teemo Attacking,2
https://leetcode.com/problems/zuma-game/,Zuma Game,6
https://leetcode.com/problems/pacific-atlantic-water-flow/,Pacific Atlantic Water Flow,2
https://leetcode.com/problems/flatten-nested-list-iterator/,Flatten Nested List Iterator,2
https://leetcode.com/problems/remove-duplicate-letters/,Remove Duplicate Letters,2
https://leetcode.com/problems/integer-to-english-words/,Integer to English Words,3
https://leetcode.com/problems/missing-number/,Missing Number,2
https://leetcode.com/problems/shortest-word-distance/,Shortest Word Distance,2
https://leetcode.com/problems/sliding-window-maximum/,Sliding Window Maximum,6
https://leetcode.com/problems/maximal-square/,Maximal Square,3
https://leetcode.com/problems/course-schedule-ii/,Course Schedule II,3
https://leetcode.com/problems/number-of-islands/,Number of Islands,6
https://leetcode.com/problems/rotate-array/,Rotate Array,2
https://leetcode.com/problems/largest-number/,Largest Number,6
https://leetcode.com/problems/binary-search-tree-iterator/,Binary Search Tree Iterator,3
https://leetcode.com/problems/min-stack/,Min Stack,3
https://leetcode.com/problems/lru-cache/,LRU Cache,10
https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Best Time to Buy and Sell Stock,2
https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,Flatten Binary Tree to Linked List,2
https://leetcode.com/problems/sort-colors/,Sort Colors,3
https://leetcode.com/problems/search-a-2d-matrix/,Search a 2D Matrix,2
https://leetcode.com/problems/merge-intervals/,Merge Intervals,19
https://leetcode.com/problems/jump-game/,Jump Game,2
https://leetcode.com/problems/maximum-subarray/,Maximum Subarray,3
https://leetcode.com/problems/group-anagrams/,Group Anagrams,3
https://leetcode.com/problems/sudoku-solver/,Sudoku Solver,2
https://leetcode.com/problems/search-in-rotated-sorted-array/,Search in Rotated Sorted Array,2
https://leetcode.com/problems/valid-parentheses/,Valid Parentheses,2
https://leetcode.com/problems/3sum/,3Sum,3
https://leetcode.com/problems/longest-substring-without-repeating-characters/,Longest Substring Without Repeating Characters,3
https://leetcode.com/problems/two-sum/,Two Sum,3
