problem_link,problem_name,num_occur
https://leetcode.com/problems/largest-merge-of-two-strings/,Largest Merge Of Two Strings,1
https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses/,Minimum Remove to Make Valid Parentheses,2
https://leetcode.com/problems/shortest-path-in-binary-matrix/,Shortest Path in Binary Matrix,3
https://leetcode.com/problems/subarray-sums-divisible-by-k/,Subarray Sums Divisible by K,3
https://leetcode.com/problems/knight-dialer/,Knight Dialer,2
https://leetcode.com/problems/design-search-autocomplete-system/,Design Search Autocomplete System,2
https://leetcode.com/problems/word-abbreviation/,Word Abbreviation,1
https://leetcode.com/problems/the-maze/,The Maze,3
https://leetcode.com/problems/predict-the-winner/,Predict the Winner,2
https://leetcode.com/problems/lfu-cache/,LFU Cache,3
https://leetcode.com/problems/ternary-expression-parser/,Ternary Expression Parser,1
https://leetcode.com/problems/evaluate-division/,Evaluate Division,5
https://leetcode.com/problems/decode-string/,Decode String,5
https://leetcode.com/problems/android-unlock-patterns/,Android Unlock Patterns,3
https://leetcode.com/problems/sparse-matrix-multiplication/,Sparse Matrix Multiplication,5
https://leetcode.com/problems/minimum-height-trees/,Minimum Height Trees,2
https://leetcode.com/problems/game-of-life/,Game of Life,2
https://leetcode.com/problems/alien-dictionary/,Alien Dictionary,2
https://leetcode.com/problems/meeting-rooms-ii/,Meeting Rooms II,2
https://leetcode.com/problems/different-ways-to-add-parentheses/,Different Ways to Add Parentheses,2
https://leetcode.com/problems/power-of-two/,Power of Two,2
https://leetcode.com/problems/basic-calculator-ii/,Basic Calculator II,3
https://leetcode.com/problems/basic-calculator/,Basic Calculator,2
https://leetcode.com/problems/word-search-ii/,Word Search II,5
https://leetcode.com/problems/implement-trie-prefix-tree/,Implement Trie,4
https://leetcode.com/problems/number-of-islands/,Number of Islands,2
https://leetcode.com/problems/find-peak-element/,Find Peak Element,4
https://leetcode.com/problems/lru-cache/,LRU Cache,3
https://leetcode.com/problems/word-break-ii/,Word Break II,3
https://leetcode.com/problems/word-ladder/,Word Ladder,4
https://leetcode.com/problems/word-ladder-ii/,Word Ladder II,3
https://leetcode.com/problems/binary-tree-maximum-path-sum/,Binary Tree Maximum Path Sum,3
https://leetcode.com/problems/pascals-triangle/,Pascal's Triangle,2
https://leetcode.com/problems/word-search/,Word Search,7
https://leetcode.com/problems/minimum-window-substring/,Minimum Window Substring,2
https://leetcode.com/problems/add-binary/,Add Binary,3
https://leetcode.com/problems/merge-intervals/,Merge Intervals,5
https://leetcode.com/problems/trapping-rain-water/,Trapping Rain Water,3
