problem_link,problem_name,num_occur
https://leetcode.com/problems/intersection-of-multiple-arrays/,Intersection of Multiple Arrays,1
https://leetcode.com/problems/calculate-digit-sum-of-a-string/,Calculate Digit Sum of a String,1
https://leetcode.com/problems/number-of-strings-that-appear-as-substrings-in-word/,Number of Strings That Appear as Substrings in Word,1
https://leetcode.com/problems/check-if-string-is-a-prefix-of-array/,Check If String Is a Prefix of Array,1
https://leetcode.com/problems/build-array-from-permutation/,Build Array from Permutation,2
https://leetcode.com/problems/rotating-the-box/,Rotating the Box,4
https://leetcode.com/problems/maximum-xor-for-each-query/,Maximum XOR for Each Query,1
https://leetcode.com/problems/count-nice-pairs-in-an-array/,Count Nice Pairs in an Array,3
https://leetcode.com/problems/merge-strings-alternately/,Merge Strings Alternately,3
https://leetcode.com/problems/maximum-number-of-eaten-apples/,Maximum Number of Eaten Apples,1
https://leetcode.com/problems/best-team-with-no-conflicts/,Best Team With No Conflicts,2
https://leetcode.com/problems/special-positions-in-a-binary-matrix/,Special Positions in a Binary Matrix,2
https://leetcode.com/problems/thousand-separator/,Thousand Separator,2
https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit/,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,14
https://leetcode.com/problems/leftmost-column-with-at-least-a-one/,Leftmost Column with at Least a One,10
https://leetcode.com/problems/construct-k-palindrome-strings/,Construct K Palindrome Strings,7
https://leetcode.com/problems/find-the-distance-value-between-two-arrays/,Find the Distance Value Between Two Arrays,2
https://leetcode.com/problems/iterator-for-combination/,Iterator for Combination,2
https://leetcode.com/problems/subtract-the-product-and-sum-of-digits-of-an-integer/,Subtract the Product and Sum of Digits of an Integer,5
https://leetcode.com/problems/shortest-distance-to-target-color/,Shortest Distance to Target Color,2
https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,Vertical Order Traversal of a Binary Tree,2
https://leetcode.com/problems/verifying-an-alien-dictionary/,Verifying an Alien Dictionary,3
https://leetcode.com/problems/fair-candy-swap/,Fair Candy Swap,2
https://leetcode.com/problems/boats-to-save-people/,Boats to Save People,2
https://leetcode.com/problems/champagne-tower/,Champagne Tower,2
https://leetcode.com/problems/reorganize-string/,Reorganize String,2
https://leetcode.com/problems/largest-plus-sign/,Largest Plus Sign,3
https://leetcode.com/problems/set-intersection-size-at-least-two/,Set Intersection Size At Least Two,7
https://leetcode.com/problems/daily-temperatures/,Daily Temperatures,2
https://leetcode.com/problems/my-calendar-i/,My Calendar I,4
https://leetcode.com/problems/binary-search/,Binary Search,2
https://leetcode.com/problems/top-k-frequent-words/,Top K Frequent Words,17
https://leetcode.com/problems/baseball-game/,Baseball Game,2
https://leetcode.com/problems/find-k-closest-elements/,Find K Closest Elements,2
https://leetcode.com/problems/two-sum-iv-input-is-a-bst/,Two Sum IV - Input is a BST,2
https://leetcode.com/problems/task-scheduler/,Task Scheduler,2
https://leetcode.com/problems/merge-two-binary-trees/,Merge Two Binary Trees,2
https://leetcode.com/problems/remove-boxes/,Remove Boxes,2
https://leetcode.com/problems/k-diff-pairs-in-an-array/,K-diff Pairs in an Array,2
https://leetcode.com/problems/minesweeper/,Minesweeper,7
https://leetcode.com/problems/random-pick-with-weight/,Random Pick with Weight,13
https://leetcode.com/problems/ipo/,IPO,5
https://leetcode.com/problems/optimal-account-balancing/,Optimal Account Balancing,8
https://leetcode.com/problems/arithmetic-slices-ii-subsequence/,Arithmetic Slices II - Subsequence,2
https://leetcode.com/problems/find-all-anagrams-in-a-string/,Find All Anagrams in a String,3
https://leetcode.com/problems/longest-repeating-character-replacement/,Longest Repeating Character Replacement,4
https://leetcode.com/problems/pacific-atlantic-water-flow/,Pacific Atlantic Water Flow,3
https://leetcode.com/problems/evaluate-division/,Evaluate Division,14
https://leetcode.com/problems/decode-string/,Decode String,3
https://leetcode.com/problems/insert-delete-getrandom-o1/,Insert Delete GetRandom O(1),7
https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/,Kth Smallest Element in a Sorted Matrix,2
https://leetcode.com/problems/design-hit-counter/,Design Hit Counter,2
https://leetcode.com/problems/bomb-enemy/,Bomb Enemy,4
https://leetcode.com/problems/top-k-frequent-elements/,Top K Frequent Elements,6
https://leetcode.com/problems/flatten-nested-list-iterator/,Flatten Nested List Iterator,2
https://leetcode.com/problems/reconstruct-itinerary/,Reconstruct Itinerary,10
https://leetcode.com/problems/burst-balloons/,Burst Balloons,3
https://leetcode.com/problems/number-of-islands-ii/,Number of Islands II,5
https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,Serialize and Deserialize Binary Tree,4
https://leetcode.com/problems/word-pattern-ii/,Word Pattern II,3
https://leetcode.com/problems/word-pattern/,Word Pattern,2
https://leetcode.com/problems/find-the-duplicate-number/,Find the Duplicate Number,3
https://leetcode.com/problems/move-zeroes/,Move Zeroes,2
https://leetcode.com/problems/alien-dictionary/,Alien Dictionary,3
https://leetcode.com/problems/meeting-rooms-ii/,Meeting Rooms II,2
https://leetcode.com/problems/strobogrammatic-number-ii/,Strobogrammatic Number II,3
https://leetcode.com/problems/strobogrammatic-number/,Strobogrammatic Number,2
https://leetcode.com/problems/sliding-window-maximum/,Sliding Window Maximum,5
https://leetcode.com/problems/product-of-array-except-self/,Product of Array Except Self,8
https://leetcode.com/problems/kth-smallest-element-in-a-bst/,Kth Smallest Element in a BST,11
https://leetcode.com/problems/basic-calculator-ii/,Basic Calculator II,2
https://leetcode.com/problems/invert-binary-tree/,Invert Binary Tree,3
https://leetcode.com/problems/basic-calculator/,Basic Calculator,5
https://leetcode.com/problems/contains-duplicate-ii/,Contains Duplicate II,2
https://leetcode.com/problems/the-skyline-problem/,The Skyline Problem,2
https://leetcode.com/problems/contains-duplicate/,Contains Duplicate,2
https://leetcode.com/problems/word-search-ii/,Word Search II,36
https://leetcode.com/problems/course-schedule-ii/,Course Schedule II,2
https://leetcode.com/problems/course-schedule/,Course Schedule,2
https://leetcode.com/problems/happy-number/,Happy Number,3
https://leetcode.com/problems/number-of-islands/,Number of Islands,7
https://leetcode.com/problems/binary-tree-right-side-view/,Binary Tree Right Side View,2
https://leetcode.com/problems/dungeon-game/,Dungeon Game,12
https://leetcode.com/problems/majority-element/,Majority Element,2
https://leetcode.com/problems/find-peak-element/,Find Peak Element,5
