problem_link,problem_name,num_occur
https://leetcode.com/problems/create-target-array-in-the-given-order/,Create Target Array in the Given Order,1
https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/,Remove All Adjacent Duplicates in String II,2
https://leetcode.com/problems/last-stone-weight/,Last Stone Weight,11
https://leetcode.com/problems/backspace-string-compare/,Backspace String Compare,3
https://leetcode.com/problems/subarray-sum-equals-k/,Subarray Sum Equals K,4
https://leetcode.com/problems/minimum-moves-to-equal-array-elements/,Minimum Moves to Equal Array Elements,3
https://leetcode.com/problems/string-compression/,String Compression,4
https://leetcode.com/problems/meeting-rooms-ii/,Meeting Rooms II,3
https://leetcode.com/problems/maximal-square/,Maximal Square,6
https://leetcode.com/problems/largest-number/,Largest Number,2
https://leetcode.com/problems/reverse-words-in-a-string/,Reverse Words in a String,2
https://leetcode.com/problems/linked-list-cycle/,Linked List Cycle,3
https://leetcode.com/problems/longest-consecutive-sequence/,Longest Consecutive Sequence,2
https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Best Time to Buy and Sell Stock,2
https://leetcode.com/problems/group-anagrams/,Group Anagrams,3
https://leetcode.com/problems/trapping-rain-water/,Trapping Rain Water,2
https://leetcode.com/problems/search-in-rotated-sorted-array/,Search in Rotated Sorted Array,3
https://leetcode.com/problems/reverse-integer/,Reverse Integer,2
https://leetcode.com/problems/add-two-numbers/,Add Two Numbers,2
https://leetcode.com/problems/two-sum/,Two Sum,4
