problem_link,problem_name,num_occur
https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color/,Remove Colored Pieces if Both Neighbors are the Same Color,9
https://leetcode.com/problems/slowest-key/,Slowest Key,2
https://leetcode.com/problems/reformat-date/,Reformat Date,2
https://leetcode.com/problems/split-a-string-in-balanced-strings/,Split a String in Balanced Strings,2
https://leetcode.com/problems/find-smallest-common-element-in-all-rows/,Find Smallest Common Element in All Rows,2
https://leetcode.com/problems/subdomain-visit-count/,Subdomain Visit Count,2
https://leetcode.com/problems/design-hashmap/,Design HashMap,3
https://leetcode.com/problems/degree-of-an-array/,Degree of an Array,3
https://leetcode.com/problems/valid-palindrome-ii/,Valid Palindrome II,2
https://leetcode.com/problems/strange-printer/,Strange Printer,4
https://leetcode.com/problems/continuous-subarray-sum/,Continuous Subarray Sum,2
https://leetcode.com/problems/lfu-cache/,LFU Cache,2
https://leetcode.com/problems/partition-equal-subset-sum/,Partition Equal Subset Sum,2
https://leetcode.com/problems/decode-string/,Decode String,2
https://leetcode.com/problems/find-k-pairs-with-smallest-sums/,Find K Pairs with Smallest Sums,2
https://leetcode.com/problems/design-twitter/,Design Twitter,2
https://leetcode.com/problems/paint-house-ii/,Paint House II,2
https://leetcode.com/problems/house-robber/,House Robber,2
https://leetcode.com/problems/lru-cache/,LRU Cache,4
https://leetcode.com/problems/gas-station/,Gas Station,3
https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,Best Time to Buy and Sell Stock II,4
https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Best Time to Buy and Sell Stock,3
https://leetcode.com/problems/path-sum/,Path Sum,2
https://leetcode.com/problems/merge-intervals/,Merge Intervals,5
https://leetcode.com/problems/maximum-subarray/,Maximum Subarray,2
https://leetcode.com/problems/group-anagrams/,Group Anagrams,5
https://leetcode.com/problems/first-missing-positive/,First Missing Positive,2
https://leetcode.com/problems/count-and-say/,Count and Say,2
https://leetcode.com/problems/search-in-rotated-sorted-array/,Search in Rotated Sorted Array,5
https://leetcode.com/problems/merge-k-sorted-lists/,Merge k Sorted Lists,2
https://leetcode.com/problems/generate-parentheses/,Generate Parentheses,3
https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Remove Nth Node From End of List,3
https://leetcode.com/problems/3sum/,3Sum,7
https://leetcode.com/problems/median-of-two-sorted-arrays/,Median of Two Sorted Arrays,2
https://leetcode.com/problems/longest-substring-without-repeating-characters/,Longest Substring Without Repeating Characters,3
https://leetcode.com/problems/two-sum/,Two Sum,3
