problem_link,problem_name,num_occur
https://leetcode.com/problems/minimum-moves-to-reach-target-score/,Minimum Moves to Reach Target Score,1
https://leetcode.com/problems/delete-characters-to-make-fancy-string/,Delete Characters to Make Fancy String,1
https://leetcode.com/problems/the-number-of-full-rounds-you-have-played/,The Number of Full Rounds You Have Played,4
https://leetcode.com/problems/alert-using-same-key-card-three-or-more-times-in-a-one-hour-period/,Alert Using Same Key-Card Three or More Times in a One Hour Period,5
https://leetcode.com/problems/subdomain-visit-count/,Subdomain Visit Count,9
https://leetcode.com/problems/max-chunks-to-make-sorted/,Max Chunks To Make Sorted,2
https://leetcode.com/problems/maximum-length-of-repeated-subarray/,Maximum Length of Repeated Subarray,7
https://leetcode.com/problems/add-strings/,Add Strings,20
https://leetcode.com/problems/course-schedule-ii/,Course Schedule II,4
https://leetcode.com/problems/valid-palindrome/,Valid Palindrome,2
https://leetcode.com/problems/valid-sudoku/,Valid Sudoku,3
