,name,link
0,Largest 3-Same-Digit Number in String,https://leetcode.com/problems/largest-3-same-digit-number-in-string/
1,Minimum Consecutive Cards to Pick Up,https://leetcode.com/problems/minimum-consecutive-cards-to-pick-up/
2,Remove Digit From Number to Maximize Result,https://leetcode.com/problems/remove-digit-from-number-to-maximize-result/
3,Minimum Average Difference,https://leetcode.com/problems/minimum-average-difference/
4,Count Prefixes of a Given String,https://leetcode.com/problems/count-prefixes-of-a-given-string/
5,Intersection of Multiple Arrays,https://leetcode.com/problems/intersection-of-multiple-arrays/
6,Minimum Rounds to Complete All Tasks,https://leetcode.com/problems/minimum-rounds-to-complete-all-tasks/
7,Calculate Digit Sum of a String,https://leetcode.com/problems/calculate-digit-sum-of-a-string/
8,Find Closest Number to Zero,https://leetcode.com/problems/find-closest-number-to-zero/
9,Root Equals Sum of Children,https://leetcode.com/problems/root-equals-sum-of-children/
10,Root Equals Sum of Children,https://leetcode.com/problems/root-equals-sum-of-children/
11,Minimum Bit Flips to Convert Number,https://leetcode.com/problems/minimum-bit-flips-to-convert-number/
12,Find the Difference of Two Arrays,https://leetcode.com/problems/find-the-difference-of-two-arrays/
13,Count Hills and Valleys in an Array,https://leetcode.com/problems/count-hills-and-valleys-in-an-array/
14,Minimum Operations to Halve Array Sum,https://leetcode.com/problems/minimum-operations-to-halve-array-sum/
15,Divide Array Into Equal Pairs,https://leetcode.com/problems/divide-array-into-equal-pairs/
16,Count Artifacts That Can Be Extracted,https://leetcode.com/problems/count-artifacts-that-can-be-extracted/
17,Find All K-Distant Indices in an Array,https://leetcode.com/problems/find-all-k-distant-indices-in-an-array/
18,Cells in a Range on an Excel Sheet,https://leetcode.com/problems/cells-in-a-range-on-an-excel-sheet/
19,Most Frequent Number Following Key In an Array,https://leetcode.com/problems/most-frequent-number-following-key-in-an-array/
20,Minimum Number of Steps to Make Two Strings Anagram II,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram-ii/
21,Counting Words With a Given Prefix,https://leetcode.com/problems/counting-words-with-a-given-prefix/
22,Construct String With Repeat Limit,https://leetcode.com/problems/construct-string-with-repeat-limit/
23,Merge Nodes in Between Zeros,https://leetcode.com/problems/merge-nodes-in-between-zeros/
24,Count Integers With Even Digit Sum,https://leetcode.com/problems/count-integers-with-even-digit-sum/
25,Find Three Consecutive Integers That Sum to a Given Number,https://leetcode.com/problems/find-three-consecutive-integers-that-sum-to-a-given-number/
26,Count Equal and Divisible Pairs in an Array,https://leetcode.com/problems/count-equal-and-divisible-pairs-in-an-array/
27,Count Operations to Obtain Zero,https://leetcode.com/problems/count-operations-to-obtain-zero/
28,Design Bitset,https://leetcode.com/problems/design-bitset/
29,Smallest Value of the Rearranged Number,https://leetcode.com/problems/smallest-value-of-the-rearranged-number/
30,Sort Even and Odd Indices Independently,https://leetcode.com/problems/sort-even-and-odd-indices-independently/
31,Partition Array According to Given Pivot,https://leetcode.com/problems/partition-array-according-to-given-pivot/
32,Minimum Sum of Four Digit Number After Splitting Digits,https://leetcode.com/problems/minimum-sum-of-four-digit-number-after-splitting-digits/
33,Find Substring With Given Hash Value,https://leetcode.com/problems/find-substring-with-given-hash-value/
34,All Divisions With the Highest Score of a Binary Array,https://leetcode.com/problems/all-divisions-with-the-highest-score-of-a-binary-array/
35,Keep Multiplying Found Values by Two,https://leetcode.com/problems/keep-multiplying-found-values-by-two/
36,Find All Lonely Numbers in the Array,https://leetcode.com/problems/find-all-lonely-numbers-in-the-array/
37,Rearrange Array Elements by Sign,https://leetcode.com/problems/rearrange-array-elements-by-sign/
38,Count Elements With Strictly Smaller and Greater Elements,https://leetcode.com/problems/count-elements-with-strictly-smaller-and-greater-elements/
39,Minimum Cost of Buying Candies With Discount,https://leetcode.com/problems/minimum-cost-of-buying-candies-with-discount/
40,Minimum Moves to Reach Target Score,https://leetcode.com/problems/minimum-moves-to-reach-target-score/
41,Divide a String Into Groups of Size k,https://leetcode.com/problems/divide-a-string-into-groups-of-size-k/
42,Minimum Swaps to Group All 1's Together II,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together-ii/
43,Check if Every Row and Column Contains All Numbers,https://leetcode.com/problems/check-if-every-row-and-column-contains-all-numbers/
44,Maximum Twin Sum of a Linked List,https://leetcode.com/problems/maximum-twin-sum-of-a-linked-list/
45,Capitalize the Title,https://leetcode.com/problems/capitalize-the-title/
46,Destroying Asteroids,https://leetcode.com/problems/destroying-asteroids/
47,Number of Laser Beams in a Bank,https://leetcode.com/problems/number-of-laser-beams-in-a-bank/
48,Check if All A's Appears Before All B's,https://leetcode.com/problems/check-if-all-as-appears-before-all-bs/
49,Execution of All Suffix Instructions Staying in a Grid,https://leetcode.com/problems/execution-of-all-suffix-instructions-staying-in-a-grid/
50,A Number After a Double Reversal,https://leetcode.com/problems/a-number-after-a-double-reversal/
51,Check if a Parentheses String Can Be Valid,https://leetcode.com/problems/check-if-a-parentheses-string-can-be-valid/
52,Maximum Number of Words Found in Sentences,https://leetcode.com/problems/maximum-number-of-words-found-in-sentences/
53,Number of Smooth Descent Periods of a Stock,https://leetcode.com/problems/number-of-smooth-descent-periods-of-a-stock/
54,Adding Spaces to a String,https://leetcode.com/problems/adding-spaces-to-a-string/
55,Find First Palindromic String in the Array,https://leetcode.com/problems/find-first-palindromic-string-in-the-array/
56,Rings and Rods,https://leetcode.com/problems/rings-and-rods/
57,Find Subsequence of Length K With the Largest Sum,https://leetcode.com/problems/find-subsequence-of-length-k-with-the-largest-sum/
58,Delete the Middle Node of a Linked List,https://leetcode.com/problems/delete-the-middle-node-of-a-linked-list/
59,Finding 3-Digit Even Numbers,https://leetcode.com/problems/finding-3-digit-even-numbers/
60,Removing Minimum and Maximum From Array,https://leetcode.com/problems/removing-minimum-and-maximum-from-array/
61,K Radius Subarray Averages,https://leetcode.com/problems/k-radius-subarray-averages/
62,Find Target Indices After Sorting Array,https://leetcode.com/problems/find-target-indices-after-sorting-array/
63,Minimum Number of Buckets Required to Collect Rainwater from Houses,https://leetcode.com/problems/minimum-number-of-buckets-required-to-collect-rainwater-from-houses/
64,Count Common Words With One Occurrence,https://leetcode.com/problems/count-common-words-with-one-occurrence/
65,Range Frequency Queries,https://leetcode.com/problems/range-frequency-queries/
66,Watering Plants,https://leetcode.com/problems/watering-plants/
67,Two Furthest Houses With Different Colors,https://leetcode.com/problems/two-furthest-houses-with-different-colors/
68,Process Restricted Friend Requests,https://leetcode.com/problems/process-restricted-friend-requests/
69,Decode the Slanted Ciphertext,https://leetcode.com/problems/decode-the-slanted-ciphertext/
70,Reverse Nodes in Even Length Groups,https://leetcode.com/problems/reverse-nodes-in-even-length-groups/
71,Time Needed to Buy Tickets,https://leetcode.com/problems/time-needed-to-buy-tickets/
72,Most Beautiful Item for Each Query,https://leetcode.com/problems/most-beautiful-item-for-each-query/
73,Check Whether Two Strings are Almost Equivalent,https://leetcode.com/problems/check-whether-two-strings-are-almost-equivalent/
74,Vowels of All Substrings,https://leetcode.com/problems/vowels-of-all-substrings/
75,Count Vowel Substrings of a String,https://leetcode.com/problems/count-vowel-substrings-of-a-string/
76,Find the Minimum and Maximum Number of Nodes Between Critical Points,https://leetcode.com/problems/find-the-minimum-and-maximum-number-of-nodes-between-critical-points/
77,Smallest Index With Equal Value,https://leetcode.com/problems/smallest-index-with-equal-value/
78,Plates Between Candles,https://leetcode.com/problems/plates-between-candles/
79,Two Best Non-Overlapping Events,https://leetcode.com/problems/two-best-non-overlapping-events/
80,Kth Distinct String in an Array,https://leetcode.com/problems/kth-distinct-string-in-an-array/
81,Parallel Courses III,https://leetcode.com/problems/parallel-courses-iii/
82,Next Greater Numerically Balanced Number,https://leetcode.com/problems/next-greater-numerically-balanced-number/
83,Number of Valid Words in a Sentence,https://leetcode.com/problems/number-of-valid-words-in-a-sentence/
84,Count Number of Maximum Bitwise-OR Subsets,https://leetcode.com/problems/count-number-of-maximum-bitwise-or-subsets/
85,Simple Bank System,https://leetcode.com/problems/simple-bank-system/
86,Check if Numbers Are Ascending in a Sentence,https://leetcode.com/problems/check-if-numbers-are-ascending-in-a-sentence/
87,The Time When the Network Becomes Idle,https://leetcode.com/problems/the-time-when-the-network-becomes-idle/
88,Remove Colored Pieces if Both Neighbors are the Same Color,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color/
89,Minimum Number of Moves to Seat Everyone,https://leetcode.com/problems/minimum-number-of-moves-to-seat-everyone/
90,Stock Price Fluctuation,https://leetcode.com/problems/stock-price-fluctuation/
91,Minimum Operations to Make a Uni-Value Grid,https://leetcode.com/problems/minimum-operations-to-make-a-uni-value-grid/
92,Two Out of Three,https://leetcode.com/problems/two-out-of-three/
93,Find Missing Observations,https://leetcode.com/problems/find-missing-observations/
94,Minimum Moves to Convert String,https://leetcode.com/problems/minimum-moves-to-convert-string/
95,Maximize the Confusion of an Exam,https://leetcode.com/problems/maximize-the-confusion-of-an-exam/
96,Number of Pairs of Strings With Concatenation Equal to Target,https://leetcode.com/problems/number-of-pairs-of-strings-with-concatenation-equal-to-target/
97,Convert 1D Array Into 2D Array,https://leetcode.com/problems/convert-1d-array-into-2d-array/
